Identifiant arc,Libelle,Identifiant noeud amont,Identifiant noeud aval,cost
5520,Bd_Arago,2546,2898,7.830397531093663
1910,Bd_des_Batignolles,2057,2058,13.756638235744738
1428,Bd_Mortier,758,757,8.53609616459364
5325,PE_Reuilly,528,2818,428.2228667542735
4010,Av_de_Clichy,2037,2029,14.47312713128679
1067,Quai_d'Issy,560,593,18.14878288205625
1160,Vercingetorix,644,643,13.383451683631753
4234,Bd_Berthier,2254,2276,0.10353251934602538
1067,Quai_d'Issy,560,593,17.311082446656428
5520,Bd_Arago,2546,2898,8.518833185567035
1910,Bd_des_Batignolles,2057,2058,14.020916994871715
1428,Bd_Mortier,758,757,8.677237172236717
5325,PE_Reuilly,528,2818,445.3787635591612
1884,Av_de_Clichy,2039,2040,7.662874552414531
1067,Quai_d'Issy,560,593,16.650048592671
1160,Vercingetorix,644,643,13.713444148876704
4234,Bd_Berthier,2254,2276,0.10359029223042515
1067,Quai_d'Issy,560,593,18.68228601490004
4058,Bd_des_Italiens,2137,3199,0.08900460098374538
5520,Bd_Arago,2546,2898,8.17393526843551
1910,Bd_des_Batignolles,2057,2058,16.72749074491876
1428,Bd_Mortier,758,757,8.398979117181874
5325,PE_Reuilly,528,2818,290.0293043794139
1067,Quai_d'Issy,560,593,16.61798378868429
4922,Cours_de_Vincennes,2607,2608,18.812554636228295
4234,Bd_Berthier,2254,2276,0.10219194975679895
1067,Quai_d'Issy,560,593,17.376901999796036
4058,Bd_des_Italiens,2137,3199,0.09477107106954133
5520,Bd_Arago,2546,2898,8.359822045782588
1910,Bd_des_Batignolles,2057,2058,7.921515662693717
5124,Quai_Francois_Mauriac,2253,2703,0.08647612288186324
5325,PE_Reuilly,528,2818,291.8863310602777
1067,Quai_d'Issy,560,593,16.555237186191196
6443,Av_Flandre,3325,2609,16.16425419315746
4234,Bd_Berthier,2254,2276,8.953528402853117
1067,Quai_d'Issy,560,593,16.6915073100946
4058,Bd_des_Italiens,2137,3199,0.0942609260417743
1910,Bd_des_Batignolles,2057,2058,8.726608308929855
5124,Quai_Francois_Mauriac,2253,2703,0.08945229549789058
1067,Quai_d'Issy,560,593,17.927333939041702
4923,Av_Flandre,2606,2609,16.072543566900787
4234,Bd_Berthier,2254,2276,8.340482055720889
1067,Quai_d'Issy,560,593,16.649279640850942
4058,Bd_des_Italiens,2137,3199,7.544352731247367
1910,Bd_des_Batignolles,2057,2058,8.26797748874464
5137,Quai_de_la_Gare,900,2703,16.34066428516959
5729,Alesia,2999,2998,7.463651106259993
1067,Quai_d'Issy,560,593,18.112414836222243
1838,Pl_Lachambeaudie,975,815,16.907723783458998
1173,Av_Pte_de_Vanves,649,650,8.636649378801874
4923,Av_Flandre,2606,2609,15.998517915299102
4234,Bd_Berthier,2254,2276,7.4259818972295335
1067,Quai_d'Issy,560,593,18.6301556842843
1948,Bd_des_Italiens,2134,3199,15.96943075980453
1910,Bd_des_Batignolles,2057,2058,16.493778018892897
5137,Quai_de_la_Gare,900,2703,16.47662333655843
5729,Alesia,2999,2998,0.09850895685826273
1430,Bd_Mortier,759,760,8.672424102051897
1067,Quai_d'Issy,560,593,17.439733160122977
1838,Pl_Lachambeaudie,975,815,16.539676507723104
4924,Cours_de_Vincennes,2608,2610,22.940467682950064
1018,Av_Pte_d'Ivry,529,489,14.734533159355465
1067,Quai_d'Issy,560,593,8.461133608339853
1948,Bd_des_Italiens,2134,3199,16.088875831357427
1910,Bd_des_Batignolles,2057,2058,16.521396366624202
5517,Quai_Francois_Mauriac,2253,2704,16.405618914374088
5729,Alesia,2999,2998,0.10111157903204247
1430,Bd_Mortier,759,760,8.709014189707094
1917,Av_de_Clichy,2056,2054,14.449722872038205
1067,Quai_d'Issy,560,593,8.53985342463245
1838,Pl_Lachambeaudie,975,815,16.53224212518938
1018,Av_Pte_d'Ivry,529,489,23.047736210004018
1067,Quai_d'Issy,560,593,8.552245665728831
1948,Bd_des_Italiens,2134,3199,15.914768060003848
5729,Alesia,2999,2998,0.09549244144948522
1430,Bd_Mortier,759,760,8.793790354431161
1018,Av_Pte_d'Ivry,529,489,14.67969322472072
1067,Quai_d'Issy,560,593,8.039798133837943
1838,Pl_Lachambeaudie,975,815,16.68784846959785
1174,Av_Pte_de_Vanves,650,649,8.320843455289168
5093,Bd_Vincent_Auriol,2689,2690,15.425854741004123
1018,Av_Pte_d'Ivry,529,489,15.002034281432161
1067,Quai_d'Issy,560,593,18.243526175614775
1948,Bd_des_Italiens,2134,3199,16.1933814994957
5729,Alesia,2999,2998,8.668438436353728
1018,Av_Pte_d'Ivry,529,489,22.737453570338236
4169,Amsterdam,2057,2222,8.686005666091608
1067,Quai_d'Issy,560,593,18.091164158418028
1838,Pl_Lachambeaudie,975,815,0.09801930677336584
5093,Bd_Vincent_Auriol,2689,2690,15.836911490102967
1018,Av_Pte_d'Ivry,529,489,22.996843382399476
1067,Quai_d'Issy,560,593,16.60437583251168
1948,Bd_des_Italiens,2134,3199,22.680040117144873
1687,Bd_de_Bercy,894,2711,15.888905268167731
5204,Lyon,243,2743,23.98845451529318
1075,Quai_d'Issy,597,594,18.338610745201883
1838,Pl_Lachambeaudie,975,815,8.56917716346681
4710,Quai_Louis_Bleriot,2508,2693,16.482298581670257
553,Reaumur,327,309,15.947820886328904
1018,Av_Pte_d'Ivry,529,489,23.222852256827302
1075,Quai_d'Issy,597,594,18.33584018416831
5535,Bd_Auguste_Blanqui,2903,2900,0.11166841528673882
1529,Joseph_Kessel,815,2712,16.556940245914813
5204,Lyon,243,2743,12.821251619614833
1910,Bd_des_Batignolles,2057,2058,14.569222985980744
1075,Quai_d'Issy,597,594,18.627749336036707
5181,PE_Lafenestre,653,435,295.21466807565935
4710,Quai_Louis_Bleriot,2508,2693,16.56549365382114
553,Reaumur,327,309,15.970788298918613
1018,Av_Pte_d'Ivry,529,489,13.955650776858018
4211,Av_Pte_Asnieres,2257,2260,16.20274409820145
1075,Quai_d'Issy,597,594,19.49659367788646
5535,Bd_Auguste_Blanqui,2903,2900,8.770903845323929
5204,Lyon,243,2743,15.873027505575829
5731,Alesia,3000,2999,7.628013638032623
6040,Bd_Batignolles,2058,3129,14.687194161719521
1075,Quai_d'Issy,597,594,19.132025821526675
4710,Quai_Louis_Bleriot,2508,2693,16.349758967611795
553,Reaumur,327,309,23.18326066235561
1018,Av_Pte_d'Ivry,529,489,21.547163672796604
4211,Av_Pte_Asnieres,2257,2260,8.403054505071374
1075,Quai_d'Issy,597,594,36.55517303465101
1405,Av_Republique,701,752,15.633221100517192
5535,Bd_Auguste_Blanqui,2903,2900,8.315839629686868
5731,Alesia,3000,2999,8.255261399781103
1075,Quai_d'Issy,597,594,16.936715011074767
6742,Bd_St_Martin,657,3497,18.150542309796247
4710,Quai_Louis_Bleriot,2508,2693,16.386181261679276
523,Bd_Sebastopol,308,309,13.83240425094443
1018,Av_Pte_d'Ivry,529,489,14.663787977482302
4211,Av_Pte_Asnieres,2257,2260,16.19179138870619
1075,Quai_d'Issy,597,594,22.70368769448927
1405,Av_Republique,701,752,7.94307948583448
5532,Bd_Auguste_Blanqui,2902,2900,16.676976980709554
5731,Alesia,3000,2999,0.09661928132120602
1916,Bd_de_Clichy,2061,2062,14.681777122184977
1075,Quai_d'Issy,597,594,22.250932180605872
5464,SE_A3_bretelle_4,2826,2867,0.11537366885466724
5386,PI_Pantin,809,802,448.53524350410544
367,Av_de_l'Opera,211,179,14.889104359982671
1970,Reaumur,2159,2694,15.31183789835671
523,Bd_Sebastopol,308,309,20.788512724268024
4211,Av_Pte_Asnieres,2257,2260,18.931638369230697
1075,Quai_d'Issy,597,594,19.26886029063297
1405,Av_Republique,701,752,8.206266311169491
5532,Bd_Auguste_Blanqui,2902,2900,16.737680430362687
5731,Alesia,3000,2999,0.0952858616221363
1075,Quai_d'Issy,597,594,18.67584089115873
5464,SE_A3_bretelle_4,2826,2867,0.2602436068207149
5386,PI_Pantin,809,802,265.0892066201373
367,Av_de_l'Opera,211,179,8.915688722473824
5519,Bd_Arago,2546,2695,8.138002807169357
523,Bd_Sebastopol,308,309,20.857730703982536
4211,Av_Pte_Asnieres,2257,2260,12.417549796798813
1075,Quai_d'Issy,597,594,18.26026602251243
1405,Av_Republique,701,752,7.928574256910543
5532,Bd_Auguste_Blanqui,2902,2900,8.893450070455161
1434,Bd_Davout,761,707,16.623896435417098
5932,Bd_de_Clichy,2062,3082,14.76553698585441
1075,Quai_d'Issy,597,594,18.420819665161698
5464,SE_A3_bretelle_4,2826,2867,0.4601880670337913
5386,PI_Pantin,809,802,231.26018439609365
367,Av_de_l'Opera,211,179,7.434472289331223
5519,Bd_Arago,2546,2695,15.739717292787633
523,Bd_Sebastopol,308,309,20.98103359435382
4209,Av_Pte_Asnieres,2257,2250,16.876019999471648
1075,Quai_d'Issy,597,594,20.985119885164526
6195,Philippe_Auguste,2696,2528,16.575872326160937
1405,Av_Republique,701,752,0.0969182615821997
5532,Bd_Auguste_Blanqui,2902,2900,8.456877617626787
1434,Bd_Davout,761,707,17.64882054649024
1075,Quai_d'Issy,597,594,15.657508994382555
5479,Bagnolet_bretelle_6,3537,2868,18.476745835545916
5386,PI_Pantin,809,802,245.91070378993436
367,Av_de_l'Opera,211,179,7.729127677469524
5519,Bd_Arago,2546,2695,8.534752343835612
523,Bd_Sebastopol,308,309,13.984918017819156
4209,Av_Pte_Asnieres,2257,2250,13.704154155109002
1075,Quai_d'Issy,597,594,21.50474760672249
6195,Philippe_Auguste,2696,2528,8.30455373217639
1405,Av_Republique,701,752,8.952613514466066
5532,Bd_Auguste_Blanqui,2902,2900,8.610973295519086
5205,PI_Plaine,632,2745,202.798051085996
5412,PI_Andre_Brechet,2081,2851,289.0240813122504
1075,Quai_d'Issy,597,594,18.243975983274815
5479,Bagnolet_bretelle_6,3537,2868,17.102892965711614
5386,PI_Pantin,809,802,0.2222331245282976
5353,PE_Menilmontant,2829,2830,281.03269157945874
4209,Av_Pte_Asnieres,2257,2250,15.930569113334508
1075,Quai_d'Issy,597,594,18.580897244169986
6195,Philippe_Auguste,2696,2528,0.0962970057685299
5532,Bd_Auguste_Blanqui,2902,2900,8.697461267189237
5205,PI_Plaine,632,2745,207.78871899342312
1075,Quai_d'Issy,597,594,8.517052437216757
5479,Bagnolet_bretelle_6,3537,2868,24.60410248979452
5386,PI_Pantin,809,802,36.50572091490146
5353,PE_Menilmontant,2829,2830,281.00173343799355
1075,Quai_d'Issy,597,594,17.520060415445283
6195,Philippe_Auguste,2696,2528,0.10265717916900292
5532,Bd_Auguste_Blanqui,2902,2900,17.7468471271244
5205,PI_Plaine,632,2745,442.031259534661
1436,Bd_Davout,762,761,16.549116041544206
5410,PI_Clichy,2086,2028,291.4073576092537
1075,Quai_d'Issy,597,594,8.637447312620234
5479,Bagnolet_bretelle_6,3537,2868,29.356983797564403
5386,PI_Pantin,809,802,35.94745323490544
5353,PE_Menilmontant,2829,2830,0.20253131214905
1075,Quai_d'Issy,597,594,8.466441461303265
5531,Bd_Auguste_Blanqui,2902,2901,14.639222660855554
5205,PI_Plaine,632,2745,440.0189177446222
1436,Bd_Davout,762,761,16.44176497941295
1075,Quai_d'Issy,597,594,18.280095282960662
1075,Quai_d'Issy,597,594,8.58714599853441
5531,Bd_Auguste_Blanqui,2902,2901,13.670150391613271
5421,PI_Ternes,2852,2746,241.21768703075446
1436,Bd_Davout,762,761,16.591021514781588
5354,PE_Leon_Frapie,2830,2831,309.6332933190748
6439,Tolbiac,3332,2652,23.28175792604668
525,Bd_Sebastopol,312,311,23.809018121194892
5531,Bd_Auguste_Blanqui,2902,2901,16.43557915565076
1916,Bd_de_Clichy,2061,2062,15.49240858145878
1447,Bd_Davout,764,769,7.7067776244912105
5354,PE_Leon_Frapie,2830,2831,443.1275390094995
