Identifiant noeud amont,Identifiant noeud aval,cost
2546,2898,0.34829614917568863
2057,2058,1.1601031667922395
758,757,7.36246776374003
528,2818,474.8852610532986
2037,2029,4.7181547685219245
560,593,18.937039174348747
644,643,26.616779035778578
2254,2276,0.08048874870474824
560,593,18.937039174348747
2546,2898,0.34829614917568863
2057,2058,1.1601031667922395
758,757,7.36246776374003
528,2818,474.8852610532986
2039,2040,3.907226925297158
560,593,18.937039174348747
644,643,26.616779035778578
2254,2276,0.08048874870474824
560,593,18.937039174348747
2137,3199,0.03932884991673985
2546,2898,0.34829614917568863
2057,2058,1.3042153614248158
758,757,7.36246776374003
528,2818,316.5901740355324
560,593,18.937039174348747
2607,2608,9.45665952822384
2254,2276,0.08048874870474824
560,593,18.937039174348747
2137,3199,0.03932884991673985
2546,2898,0.34829614917568863
2057,2058,0.6557104855782222
2253,2703,0.1027826089841393
528,2818,316.5901740355324
560,593,18.937039174348747
3325,2609,20.998494919967467
2254,2276,7.3244761321320935
560,593,18.937039174348747
2137,3199,0.03932884991673985
2057,2058,0.6557104855782222
2253,2703,0.1027826089841393
560,593,18.937039174348747
2606,2609,21.721527567712556
2254,2276,7.3244761321320935
560,593,18.937039174348747
2137,3199,3.5789253424233296
2057,2058,0.6557104855782222
900,2703,22.15168797680317
2999,2998,10.376110292595245
560,593,18.937039174348747
975,815,24.147365513701214
649,650,6.978999500811649
2606,2609,21.721527567712556
2254,2276,7.3244761321320935
560,593,18.937039174348747
2134,3199,13.024399167023134
2057,2058,1.3042153614248158
900,2703,22.15168797680317
2999,2998,0.1140231900285192
759,760,4.543191459697653
560,593,18.937039174348747
975,815,24.147365513701214
2608,2610,8.32890138113154
529,489,8.815528905159077
560,593,9.520831850086939
2134,3199,13.024399167023134
2057,2058,1.3042153614248158
2253,2704,16.702553802811877
2999,2998,0.1140231900285192
759,760,4.543191459697653
2056,2054,9.46887644551307
560,593,9.520831850086939
975,815,24.147365513701214
529,489,13.223293357738616
560,593,9.520831850086939
2134,3199,13.024399167023134
2999,2998,0.1140231900285192
759,760,4.543191459697653
529,489,8.815528905159077
560,593,9.520831850086939
975,815,24.147365513701214
650,649,6.9475394122459235
2689,2690,20.299569569032524
529,489,8.815528905159077
560,593,18.937039174348747
2134,3199,13.024399167023134
2999,2998,10.376110292595245
529,489,13.223293357738616
2057,2222,1.932182326932891
560,593,18.937039174348747
975,815,0.1334108591917194
2689,2690,20.299569569032524
529,489,13.223293357738616
560,593,18.937039174348747
2134,3199,13.024399167023134
894,2711,4.0998858446220545
243,2743,20.29932458951157
597,594,12.092588259502246
975,815,12.140388186446467
2508,2693,17.69178663092726
327,309,10.47401859294265
529,489,13.223293357738616
597,594,12.092588259502246
2903,2900,0.06730033360504255
815,2712,6.369057933584405
243,2743,12.037536865235221
2057,2058,1.3042153614248158
