Identifiant arc,Libelle,Identifiant noeud amont,Identifiant noeud aval,cost
5520,Bd_Arago,2546,2898,3.173484632684583
1910,Bd_des_Batignolles,2057,2058,7.3512195977184485
1428,Bd_Mortier,758,757,7.571866678375372
5325,PE_Reuilly,528,2818,486.5771784268058
4010,Av_de_Clichy,2037,2029,7.823328862646287
1067,Quai_d'Issy,560,593,18.64030966850165
1160,Vercingetorix,644,643,20.442320384425603
4234,Bd_Berthier,2254,2276,0.09042209383353242
1067,Quai_d'Issy,560,593,18.481102109239632
5520,Bd_Arago,2546,2898,2.946297319139364
1910,Bd_des_Batignolles,2057,2058,7.2902560989899765
1428,Bd_Mortier,758,757,6.0737514300321
5325,PE_Reuilly,528,2818,442.4613956838539
1884,Av_de_Clichy,2039,2040,4.979763244206411
1067,Quai_d'Issy,560,593,16.749622958518685
1160,Vercingetorix,644,643,22.342311022405347
4234,Bd_Berthier,2254,2276,0.08683222212526695
1067,Quai_d'Issy,560,593,27.532380622365945
4058,Bd_des_Italiens,2137,3199,0.05566614594100166
5520,Bd_Arago,2546,2898,2.86753783552571
1910,Bd_des_Batignolles,2057,2058,8.05797557257234
1428,Bd_Mortier,758,757,7.704214664433447
5325,PE_Reuilly,528,2818,295.4967297555505
1067,Quai_d'Issy,560,593,16.98919135055747
4922,Cours_de_Vincennes,2607,2608,12.630097016188401
4234,Bd_Berthier,2254,2276,0.07597124920875294
1067,Quai_d'Issy,560,593,20.5126930047896
4058,Bd_des_Italiens,2137,3199,0.04602093376892727
5520,Bd_Arago,2546,2898,2.8632846683417883
1910,Bd_des_Batignolles,2057,2058,3.7796016533989527
5124,Quai_Francois_Mauriac,2253,2703,0.06381933444929629
5325,PE_Reuilly,528,2818,304.8992875650605
1067,Quai_d'Issy,560,593,17.065078905986528
6443,Av_Flandre,3325,2609,15.229607210014555
4234,Bd_Berthier,2254,2276,8.161630855229072
1067,Quai_d'Issy,560,593,16.956565738507408
4058,Bd_des_Italiens,2137,3199,0.08683266478393986
1910,Bd_des_Batignolles,2057,2058,4.57555097607065
5124,Quai_Francois_Mauriac,2253,2703,0.08441946169878653
1067,Quai_d'Issy,560,593,18.359617864459853
4923,Av_Flandre,2606,2609,20.512143545432334
4234,Bd_Berthier,2254,2276,7.397306375946124
1067,Quai_d'Issy,560,593,18.106228797480867
4058,Bd_des_Italiens,2137,3199,5.234369932310643
1910,Bd_des_Batignolles,2057,2058,3.1344289962749023
5137,Quai_de_la_Gare,900,2703,19.427587661793126
5729,Alesia,2999,2998,7.307819311377356
1067,Quai_d'Issy,560,593,18.018081289910135
1838,Pl_Lachambeaudie,975,815,22.406467094144208
1173,Av_Pte_de_Vanves,649,650,9.653984535875566
4923,Av_Flandre,2606,2609,18.59910046618936
4234,Bd_Berthier,2254,2276,7.162934109292717
1067,Quai_d'Issy,560,593,22.005820132058467
1948,Bd_des_Italiens,2134,3199,
1910,Bd_des_Batignolles,2057,2058,7.773539401377292
5137,Quai_de_la_Gare,900,2703,18.350609782255624
5729,Alesia,2999,2998,0.0941904870920639
1430,Bd_Mortier,759,760,6.916644079835582
1067,Quai_d'Issy,560,593,18.397748714517313
1838,Pl_Lachambeaudie,975,815,22.115856285075605
4924,Cours_de_Vincennes,2608,2610,14.718405774197976
1018,Av_Pte_d'Ivry,529,489,12.255047418634035
1067,Quai_d'Issy,560,593,9.71375509345621
1948,Bd_des_Italiens,2134,3199,13.401344800271275
1910,Bd_des_Batignolles,2057,2058,7.980204926552444
5517,Quai_Francois_Mauriac,2253,2704,16.18018755654858
5729,Alesia,2999,2998,0.11353309697176778
1430,Bd_Mortier,759,760,5.491319183146239
1917,Av_de_Clichy,2056,2054,10.41368013857178
1067,Quai_d'Issy,560,593,9.948512501127476
1838,Pl_Lachambeaudie,975,815,21.494932060295405
1018,Av_Pte_d'Ivry,529,489,21.030666287245996
1067,Quai_d'Issy,560,593,9.564056445660238
1948,Bd_des_Italiens,2134,3199,14.241478007704105
5729,Alesia,2999,2998,0.11181992441613182
1430,Bd_Mortier,759,760,6.956400154010874
1018,Av_Pte_d'Ivry,529,489,11.748626008878542
1067,Quai_d'Issy,560,593,8.390501146569415
1838,Pl_Lachambeaudie,975,815,23.41275220071773
1174,Av_Pte_de_Vanves,650,649,7.073674141556117
5093,Bd_Vincent_Auriol,2689,2690,18.728104803830114
1018,Av_Pte_d'Ivry,529,489,11.646023108349375
1067,Quai_d'Issy,560,593,18.979422707504984
1948,Bd_des_Italiens,2134,3199,
5729,Alesia,2999,2998,9.77729163549298
1018,Av_Pte_d'Ivry,529,489,17.46099887701495
4169,Amsterdam,2057,2222,5.386108968533081
1067,Quai_d'Issy,560,593,19.523474267552622
1838,Pl_Lachambeaudie,975,815,0.12267260292185457
5093,Bd_Vincent_Auriol,2689,2690,16.84584753439342
1018,Av_Pte_d'Ivry,529,489,15.501251681822414
1067,Quai_d'Issy,560,593,17.217167631406983
1948,Bd_des_Italiens,2134,3199,
1687,Bd_de_Bercy,894,2711,
5204,Lyon,243,2743,22.15974325010629
1075,Quai_d'Issy,597,594,12.525032432854077
1838,Pl_Lachambeaudie,975,815,7.680810379467503
4710,Quai_Louis_Bleriot,2508,2693,18.145887874690168
553,Reaumur,327,309,13.629688455331197
1018,Av_Pte_d'Ivry,529,489,27.476703098295804
1075,Quai_d'Issy,597,594,14.113077430604505
5535,Bd_Auguste_Blanqui,2903,2900,0.10482959810958502
1529,Joseph_Kessel,815,2712,11.27338322693202
5204,Lyon,243,2743,
1910,Bd_des_Batignolles,2057,2058,4.329002494943018
1075,Quai_d'Issy,597,594,14.297253080676981
5181,PE_Lafenestre,653,435,
4710,Quai_Louis_Bleriot,2508,2693,17.406081834258128
553,Reaumur,327,309,
1018,Av_Pte_d'Ivry,529,489,
4211,Av_Pte_Asnieres,2257,2260,12.68719554324182
1075,Quai_d'Issy,597,594,13.327365596393209
5535,Bd_Auguste_Blanqui,2903,2900,7.339395188618546
5204,Lyon,243,2743,
5731,Alesia,3000,2999,6.939061499482603
6040,Bd_Batignolles,2058,3129,12.836108953819942
1075,Quai_d'Issy,597,594,11.363541110417174
4710,Quai_Louis_Bleriot,2508,2693,16.079946881408567
553,Reaumur,327,309,16.785325100940664
1018,Av_Pte_d'Ivry,529,489,18.09217349963373
4211,Av_Pte_Asnieres,2257,2260,6.428627770901958
1075,Quai_d'Issy,597,594,37.27377818283869
1405,Av_Republique,701,752,14.860439586195218
5535,Bd_Auguste_Blanqui,2903,2900,6.787578123254432
5731,Alesia,3000,2999,6.581855031483087
1075,Quai_d'Issy,597,594,9.83718516019603
6742,Bd_St_Martin,657,3497,15.453995721004008
4710,Quai_Louis_Bleriot,2508,2693,15.656662930298872
523,Bd_Sebastopol,308,309,17.21744673497315
1018,Av_Pte_d'Ivry,529,489,10.085435968858599
4211,Av_Pte_Asnieres,2257,2260,14.143527276437652
1075,Quai_d'Issy,597,594,15.243035991993821
1405,Av_Republique,701,752,8.247881166725342
5532,Bd_Auguste_Blanqui,2902,2900,12.76683155078116
5731,Alesia,3000,2999,0.08697404657965166
1916,Bd_de_Clichy,2061,2062,8.071628052414564
1075,Quai_d'Issy,597,594,13.306064174432077
5464,SE_A3_bretelle_4,2826,2867,0.3365675545982566
5386,PI_Pantin,809,802,565.6153809353852
367,Av_de_l'Opera,211,179,13.884636158734455
1970,Reaumur,2159,2694,14.646780677714457
523,Bd_Sebastopol,308,309,24.495997927996257
4211,Av_Pte_Asnieres,2257,2260,12.692523235108977
1075,Quai_d'Issy,597,594,10.577880474841702
1405,Av_Republique,701,752,5.4013204446108665
5532,Bd_Auguste_Blanqui,2902,2900,9.64363871726615
5731,Alesia,3000,2999,0.07064001637592784
1075,Quai_d'Issy,597,594,13.964007426199604
5464,SE_A3_bretelle_4,2826,2867,0.31394383777478135
5386,PI_Pantin,809,802,301.7122872602853
367,Av_de_l'Opera,211,179,7.543786478173769
5519,Bd_Arago,2546,2695,8.50039495474258
523,Bd_Sebastopol,308,309,25.640468734206895
4211,Av_Pte_Asnieres,2257,2260,10.998892770134175
1075,Quai_d'Issy,597,594,14.577282428781315
1405,Av_Republique,701,752,8.894283938716441
5532,Bd_Auguste_Blanqui,2902,2900,5.7265051825379985
1434,Bd_Davout,761,707,19.30284987376608
5932,Bd_de_Clichy,2062,3082,13.214380668102494
1075,Quai_d'Issy,597,594,13.949861694269623
5464,SE_A3_bretelle_4,2826,2867,0.563222180955231
5386,PI_Pantin,809,802,287.1492338866803
367,Av_de_l'Opera,211,179,6.1738153563814
5519,Bd_Arago,2546,2695,15.244476576432785
523,Bd_Sebastopol,308,309,25.31419125878068
4209,Av_Pte_Asnieres,2257,2250,14.284012925285781
1075,Quai_d'Issy,597,594,14.496626203255655
6195,Philippe_Auguste,2696,2528,16.098640122396628
1405,Av_Republique,701,752,0.08598132102391513
5532,Bd_Auguste_Blanqui,2902,2900,5.404915089241735
1434,Bd_Davout,761,707,18.415094419441306
1075,Quai_d'Issy,597,594,14.561506968008
5479,Bagnolet_bretelle_6,3537,2868,25.170753450649702
5386,PI_Pantin,809,802,265.5766252396608
367,Av_de_l'Opera,211,179,7.335874293001646
5519,Bd_Arago,2546,2695,10.92404790251619
523,Bd_Sebastopol,308,309,
4209,Av_Pte_Asnieres,2257,2250,15.794264947472312
1075,Quai_d'Issy,597,594,17.33028634263352
6195,Philippe_Auguste,2696,2528,6.648186080108652
1405,Av_Republique,701,752,8.314691895042907
5532,Bd_Auguste_Blanqui,2902,2900,5.6061831157099995
5205,PI_Plaine,632,2745,212.03449833297935
5412,PI_Andre_Brechet,2081,2851,
1075,Quai_d'Issy,597,594,13.249812348656897
5479,Bagnolet_bretelle_6,3537,2868,21.220515358468454
5386,PI_Pantin,809,802,0.27272525440912176
5353,PE_Menilmontant,2829,2830,285.6894389084413
4209,Av_Pte_Asnieres,2257,2250,
1075,Quai_d'Issy,597,594,14.241118192218885
6195,Philippe_Auguste,2696,2528,0.1054396399526874
5532,Bd_Auguste_Blanqui,2902,2900,5.334808152865844
5205,PI_Plaine,632,2745,210.85744314009654
1075,Quai_d'Issy,597,594,7.422570406237385
5479,Bagnolet_bretelle_6,3537,2868,26.949445219518765
5386,PI_Pantin,809,802,46.7404297245576
5353,PE_Menilmontant,2829,2830,247.18835445780368
1075,Quai_d'Issy,597,594,11.000949112655283
6195,Philippe_Auguste,2696,2528,0.10544911157850587
5532,Bd_Auguste_Blanqui,2902,2900,20.87515409967779
5205,PI_Plaine,632,2745,406.37748100956526
1436,Bd_Davout,762,761,15.988948941132415
5410,PI_Clichy,2086,2028,
1075,Quai_d'Issy,597,594,8.286720190805433
5479,Bagnolet_bretelle_6,3537,2868,31.873841199321596
5386,PI_Pantin,809,802,46.96071771257554
5353,PE_Menilmontant,2829,2830,0.2109444799823011
1075,Quai_d'Issy,597,594,6.9143188405883835
5531,Bd_Auguste_Blanqui,2902,2901,14.26752420317591
5205,PI_Plaine,632,2745,409.26057046714163
1436,Bd_Davout,762,761,18.826041553714667
1075,Quai_d'Issy,597,594,14.93889110015829
1075,Quai_d'Issy,597,594,6.60095618407779
5531,Bd_Auguste_Blanqui,2902,2901,10.881544026443501
5421,PI_Ternes,2852,2746,218.2723945448021
1436,Bd_Davout,762,761,18.055317740690022
5354,PE_Leon_Frapie,2830,2831,
6439,Tolbiac,3332,2652,24.327921300114816
525,Bd_Sebastopol,312,311,22.275305339493094
5531,Bd_Auguste_Blanqui,2902,2901,15.002419728151379
1916,Bd_de_Clichy,2061,2062,10.832529608448697
1447,Bd_Davout,764,769,11.717877823527163
5354,PE_Leon_Frapie,2830,2831,424.5123334582877
6439,Tolbiac,3332,2652,12.3314998091064
525,Bd_Sebastopol,312,311,
1779,Bd_Magenta,826,3222,16.58990591982737
5531,Bd_Auguste_Blanqui,2902,2901,8.090509810994597
1916,Bd_de_Clichy,2061,2062,10.934091973737054
5421,PI_Ternes,2852,2746,254.60803242681655
5733,Alesia,403,3000,0.12040889256516932
1447,Bd_Davout,764,769,9.077378317657047
5354,PE_Leon_Frapie,2830,2831,223.1077436056421
5009,Tolbiac,2651,2652,9.620473002120821
6194,Philippe_Auguste,2528,2696,17.819943439353082
525,Bd_Sebastopol,312,311,
1779,Bd_Magenta,826,3222,15.536988699357726
5531,Bd_Auguste_Blanqui,2902,2901,9.360402383940952
1916,Bd_de_Clichy,2061,2062,12.071741462397375
5421,PI_Ternes,2852,2746,436.0133265448227
5733,Alesia,403,3000,0.13531696324372955
1447,Bd_Davout,764,769,19.991092753892207
5354,PE_Leon_Frapie,2830,2831,235.61638362138785
5009,Tolbiac,2651,2652,9.422294151260315
1218,Bd_Sebastopol,310,312,17.39681400934322
1779,Bd_Magenta,826,3222,15.125980790436119
1407,Av_Gambetta,753,701,27.633045398335288
5531,Bd_Auguste_Blanqui,2902,2901,6.8827235746478275
1916,Bd_de_Clichy,2061,2062,12.451191996276433
5215,PI_Pont_Aval,598,2727,279.34355762768297
5421,PI_Ternes,2852,2746,
5733,Alesia,403,3000,0.08654636811021225
1447,Bd_Davout,764,769,21.21758638705693
5354,PE_Leon_Frapie,2830,2831,0.17468534285071408
5009,Tolbiac,2651,2652,19.11168286064545
1218,Bd_Sebastopol,310,312,10.388245659695551
1779,Bd_Magenta,826,3222,17.6019243200965
1407,Av_Gambetta,753,701,30.44204461568559
1916,Bd_de_Clichy,2061,2062,11.786675474677807
5207,PI_Parc_Expo_Est,2745,2747,257.3170300601819
5733,Alesia,403,3000,12.464610044118949
1444,Bd_Davout,764,768,12.964672906454526
5336,PI_Guyane,531,538,418.4609092898712
5354,PE_Leon_Frapie,2830,2831,0.27463482508560233
5009,Tolbiac,2651,2652,19.714347363404155
1218,Bd_Sebastopol,310,312,9.188128312218396
5336,PI_Guyane,531,538,591.9770638647034
4213,Av_Pte_Asnieres,2260,2257,13.669522714184687
1779,Bd_Magenta,826,3222,20.952756245377735
1407,Av_Gambetta,753,701,24.493544232509056
1916,Bd_de_Clichy,2061,2062,9.693751385579597
1444,Bd_Davout,764,768,10.750599860713656
5336,PI_Guyane,531,538,638.5662085554466
5354,PE_Leon_Frapie,2830,2831,0.23690853783631746
1218,Bd_Sebastopol,310,312,
5336,PI_Guyane,531,538,
4213,Av_Pte_Asnieres,2260,2257,6.536006459649723
6208,Bd_Magenta,664,3222,14.54822032372241
1407,Av_Gambetta,753,701,26.726280976262217
1917,Av_de_Clichy,2056,2054,7.791045127460831
1444,Bd_Davout,764,768,7.905618656881826
5336,PI_Guyane,531,538,
1218,Bd_Sebastopol,310,312,
5336,PI_Guyane,531,538,
4213,Av_Pte_Asnieres,2260,2257,7.775417733791961
6208,Bd_Magenta,664,3222,
1407,Av_Gambetta,753,701,13.505603458996204
1917,Av_de_Clichy,2056,2054,6.318373764956513
5913,Pyrenees,766,3074,19.556806828655763
5336,PI_Guyane,531,538,457.2004767863392
5355,PI_Leon_Frapie,781,2832,260.05905103016113
1218,Bd_Sebastopol,310,312,
5336,PI_Guyane,531,538,454.31017311487113
4213,Av_Pte_Asnieres,2260,2257,12.920887100339321
6208,Bd_Magenta,664,3222,
1407,Av_Gambetta,753,701,13.127644974505094
5530,Bd_Auguste_Blanqui,2901,2902,12.76683155078116
1917,Av_de_Clichy,2056,2054,6.015999514481266
5913,Pyrenees,766,3074,20.676095976849666
5336,PI_Guyane,531,538,617.5198021012009
5355,PI_Leon_Frapie,781,2832,271.12092325157954
5335,PI_Courteline,532,531,
4213,Av_Pte_Asnieres,2260,2257,9.092338089158568
6208,Bd_Magenta,664,3222,8.232423174886064
1407,Av_Gambetta,753,701,13.824708336591264
5530,Bd_Auguste_Blanqui,2901,2902,8.121381776905116
1917,Av_de_Clichy,2056,2054,5.086368189383923
5737,Vercingetorix,3149,3002,15.510984792083464
5913,Pyrenees,766,3074,20.595789071966596
5336,PI_Guyane,531,538,599.1554218409417
5355,PI_Leon_Frapie,781,2832,32.1062592329645
1324,Av_Parmentier,676,679,19.96738776208549
5335,PI_Courteline,532,531,
6208,Bd_Magenta,664,3222,
5530,Bd_Auguste_Blanqui,2901,2902,6.50511261412172
1917,Av_de_Clichy,2056,2054,5.914064711640313
5737,Vercingetorix,3149,3002,11.627231640443533
5913,Pyrenees,766,3074,20.792791317399942
5335,PI_Courteline,532,531,282.70986813582357
5355,PI_Leon_Frapie,781,2832,0.1884975966964593
5124,Quai_Francois_Mauriac,2253,2703,0.08131056009339828
5335,PI_Courteline,532,531,
6208,Bd_Magenta,664,3222,13.03567674845866
5533,Bd_Auguste_Blanqui,2900,2902,10.881544026443501
1917,Av_de_Clichy,2056,2054,10.23789237204657
5175,PE_Parc_Expo_Ouest,608,2731,
5737,Vercingetorix,3149,3002,11.477695378932527
1542,Pyrenees,766,3442,13.68801173036228
5335,PI_Courteline,532,531,
1946,Bd_Haussmann,2133,2131,19.502661133402455
5124,Quai_Francois_Mauriac,2253,2703,0.08577863743655109
5335,PI_Courteline,532,531,457.1447156307662
6208,Bd_Magenta,664,3222,10.485414983674918
5533,Bd_Auguste_Blanqui,2900,2902,5.923979331259049
1917,Av_de_Clichy,2056,2054,6.602768218358094
5176,PE_Parc_Expo_Est,2731,2732,
1542,Pyrenees,766,3442,14.381681225901472
5335,PI_Courteline,532,531,
1951,Bd_des_Italiens,2137,2138,19.566369223236883
5124,Quai_Francois_Mauriac,2253,2703,0.08976437333164396
5335,PI_Courteline,532,531,331.5059739323899
4228,Bd_Haussmann,2261,2269,19.03954977945451
4750,Bd_de_Charonne,2527,2534,13.301754056341325
6208,Bd_Magenta,664,3222,
1917,Av_de_Clichy,2056,2054,13.214466796797506
5176,PE_Parc_Expo_Est,2731,2732,
1542,Pyrenees,766,3442,18.94768428405385
5335,PI_Courteline,532,531,426.8710840501135
1954,Bd_des_Capucines,2138,2139,12.685073162645432
5021,Rue_Fbg_St_Martin,835,2653,36.928849555549455
